"序号","代码","名称","最新价","涨跌额","涨跌幅","5分钟涨跌幅","60日涨跌幅","年初至今涨跌幅","买入价","卖出价","买量","卖量","成交量","成交额","股息率TTM","股息率LFY","今开","昨收","最高","最低","换手率%","涨跌速率%","振幅%","市盈率TTM","市盈率(静)","市净率","量比","委比","总市值","港股市值","总股本","流通股本","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业"
"1783","08112","基石金融","0.181","0.000","0.00%","0.00%","-1.09%","0.00%","0.160","0.187","74.40万","2.40万","0","0","0.000%","0.000%","0.181","0.181","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.049","0.00","77.78%","1038.12万","1038.12万","5735.46万","5735.46万","1.69%","0.56%","-15.81%","-11.71%","-70.81%","广告及宣传"
"1784","01096","中能国际控股","0.026","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.026","0.026","0.000","0.000","0.00","0.00","0.00","亏损","亏损","-","0.00","0.00%","5009.77万","5009.77万","19.27亿","19.27亿","0.00%","0.00%","0.00%","0.00%","0.00%","燃气供应"
"1785","03628","仁恒实业控股","0.113","0.000","0.00%","0.00%","13.00%","3.67%","0.101","0.132","4000","1.20万","4.00万","4520","0.000%","0.000%","0.113","0.113","0.113","0.113","0.01","0.00","0.00","113.000","113.000","0.807","0.94","60.00%","9085.20万","9085.20万","8.04亿","8.04亿","6.60%","16.49%","13.00%","-22.07%","-49.10%","工业零件及器材"
"1786","06880","腾邦控股","0.285","0.000","0.00%","0.00%","1.79%","5.56%","0.255","0.365","2000","1.00万","0","0","8.070%","0.000%","0.285","0.285","0.000","0.000","0.00","0.00","0.00","亏损","亏损","1.087","0.00","-51.52%","9953.93万","9953.93万","3.49亿","3.49亿","7.55%","-8.06%","5.56%","-9.52%","-56.82%","航空货运及物流"
"1787","08215","第一信用","0.108","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.108","0.108","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.559","0.00","0.00%","3.92亿","3.92亿","36.29亿","36.29亿","0.00%","0.00%","0.00%","0.00%","0.00%","-"
"1788","02133","信盛矿业","0.201","0.000","0.00%","0.00%","-11.84%","-11.84%","0.194","0.220","1.00万","2.00万","1.00万","2010","0.000%","0.000%","0.201","0.201","0.201","0.201","0.00","0.00","0.00","亏损","亏损","0.052","1.67","9.68%","8994.19万","8994.19万","4.47亿","4.47亿","-4.29%","-5.19%","-11.06%","-12.61%","-61.35%","-"
"1789","01298","云能国际","1.560","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","1.560","1.560","0.000","0.000","0.00","0.00","0.00","亏损","亏损","1.598","0.00","0.00%","4.30亿","4.30亿","2.75亿","2.75亿","0.00%","0.00%","0.00%","-19.17%","-45.26%","医疗保健设备"
"1790","00579","京能清洁能源","2.520","0.000","0.00%","-0.79%","3.70%","-0.79%","2.520","2.530","530.60万","2.00万","358.11万","904.32万","3.130%","3.134%","2.530","2.520","2.540","2.520","0.13","-0.79","0.79","8.513","9.064","0.706","0.72","44.62%","207.76亿","71.31亿","82.45亿","28.3亿","0.00%","1.61%","-0.79%","17.76%","113.38%","电力"
"1791","08246","中华燃气","0.265","0.000","0.00%","0.00%","-3.64%","-5.36%","0.240","0.265","2.40万","73.60万","18.40万","4.88万","1.890%","0.000%","0.265","0.265","0.265","0.265","0.01","0.00","0.00","亏损","20.384","2.086","1.17","-93.68%","9.60亿","9.60亿","36.22亿","36.22亿","-1.85%","0.00%","-5.36%","3.92%","-14.52%","新能源物料"
"1792","08090","中国融保金融集团","0.041","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.041","0.041","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.320","0.00","0.00%","7248.02万","7248.02万","17.68亿","17.68亿","0.00%","0.00%","0.00%","0.00%","0.00%","-"
"1793","08031","易通讯集团","0.245","0.000","0.00%","0.00%","-23.44%","-27.94%","0.210","0.280","4000","8000","0","0","0.000%","0.000%","0.245","0.245","0.000","0.000","0.00","0.00","0.00","35.000","9.074","0.559","0.00","-33.33%","6860.00万","6860.00万","2.8亿","2.8亿","-2.00%","-2.00%","-25.76%","-12.50%","-33.78%","其他支援服务"
"1794","01303","汇力资源","0.150","0.000","0.00%","0.00%","6.38%","0.00%","0.128","0.150","2000","2000","9.40万","1.41万","0.000%","0.000%","0.150","0.150","0.150","0.150","0.01","0.00","0.00","亏损","亏损","0.519","0.00","0.00%","2.43亿","2.43亿","16.2亿","16.2亿","0.00%","0.00%","0.00%","66.67%","-55.88%","煤炭"
"1795","03092","TR泰国","190.300","0.000","0.00%","0.00%","7.82%","3.12%","0.000","0.000","0","0","0","0","0.000%","0.000%","190.300","190.300","0.000","0.000","0.00","0.00","0.00","1.004","1745871.625","-","0.00","0.00%","2074.27万","2074.27万","10.9万","10.9万","2.56%","1.44%","-1.81%","15.40%","-1.04%","-"
"1796","01315","允升国际","0.075","0.000","0.00%","0.00%","31.58%","8.70%","0.072","0.076","40.00万","10.00万","80.80万","5.89万","0.000%","0.000%","0.073","0.075","0.077","0.072","0.01","0.00","6.67","亏损","亏损","3.125","0.32","-29.84%","4.50亿","4.50亿","60亿","60亿","22.95%","17.19%","-2.60%","-52.53%","-65.91%","楼宇建造"
"1797","08242","新威斯顿","0.015","0.000","0.00%","0.00%","-25.00%","0.00%","0.015","0.017","20.00万","34.00万","1669.00万","25.04万","0.000%","0.000%","0.015","0.015","0.015","0.015","1.00","0.00","0.00","亏损","亏损","0.098","24.99","83.82%","2516.01万","2516.01万","16.77亿","16.77亿","-21.05%","0.00%","-11.76%","-40.00%","-62.50%","物业服务及管理"
"1798","01277","力量能源","0.420","0.000","0.00%","0.00%","15.07%","-4.55%","0.415","0.420","22.20万","22.80万","18.00万","7.57万","10.710%","10.714%","0.420","0.420","0.425","0.420","0.00","0.00","1.19","4.038","3.888","1.337","0.15","12.67%","35.41亿","35.41亿","84.3亿","84.3亿","1.20%","-1.18%","1.20%","25.37%","23.53%","煤炭"
"1799","01260","皓天财经集团","0.405","0.000","0.00%","0.00%","-32.50%","-1.22%","0.405","0.430","29.00万","7.00万","23.00万","9.34万","6.910%","0.000%","0.410","0.405","0.410","0.405","0.02","0.00","1.24","13.965","6.136","0.290","0.53","73.51%","4.66亿","4.66亿","11.51亿","11.51亿","-10.00%","1.25%","3.85%","-40.44%","-39.55%","其他金融"
"1800","01329","首创钜大","1.040","0.000","0.00%","0.00%","-12.61%","14.29%","0.890","1.100","2000","4000","0","0","0.000%","0.000%","1.040","1.040","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.175","0.00","-50.00%","10.00亿","10.00亿","9.62亿","9.62亿","0.00%","0.00%","14.29%","-13.33%","-13.33%","地产发展商"
"1801","01322","创达科技控股","0.231","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","10.390%","10.389%","0.000","0.231","0.000","0.000","0.00","0.00","0.00","0.665","0.665","0.082","0.00","0.00%","1.66亿","1.66亿","7.19亿","7.19亿","0.00%","0.00%","0.00%","0.00%","0.00%","-"
"1802","01613","协同通信","0.235","0.000","0.00%","0.00%","-21.67%","-1.67%","0.219","0.241","3200","3200","12.80万","2.99万","0.000%","0.000%","0.233","0.235","0.235","0.233","0.01","-0.43","0.85","亏损","亏损","1.535","0.88","52.63%","2.43亿","2.43亿","10.32亿","10.32亿","10.85%","13.53%","12.98%","-38.96%","-71.52%","系统开发及资讯科技顾问"
"1803","08030","汇联金融服务","0.026","0.000","0.00%","13.04%","-35.00%","-25.71%","0.023","0.027","25.00万","2.00万","37.50万","9905","76.920%","0.000%","0.026","0.026","0.029","0.021","0.02","-13.04","30.77","亏损","亏损","0.062","0.38","-52.70%","4501.72万","4501.72万","17.31亿","17.31亿","-3.70%","-18.75%","-39.53%","-62.86%","-66.67%","地产投资"
"1804","01522","京投交通科技","0.640","0.000","0.00%","0.00%","16.36%","-7.25%","0.630","0.640","10.00万","19.60万","103.60万","65.92万","3.130%","3.125%","0.640","0.640","0.640","0.620","0.05","0.00","3.13","19.393","13.913","0.625","0.43","3.57%","13.42亿","13.42亿","20.97亿","20.97亿","-4.48%","-8.57%","-13.51%","60.00%","30.61%","系统开发及资讯科技顾问"
"1805","03666","国际天食","0.083","0.000","0.00%","0.00%","3.75%","0.00%","0.079","0.083","20.00万","13.60万","0","0","31.330%","0.000%","0.083","0.083","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.528","0.00","-45.42%","1.84亿","1.84亿","22.13亿","22.13亿","5.06%","0.00%","-6.74%","-27.19%","-45.39%","餐饮"
"1806","01237","中科生物","0.125","0.000","0.00%","0.00%","-26.90%","-21.88%","0.125","0.139","10.00万","10.00万","240","28","0.000%","0.000%","0.125","0.125","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.099","0.00","0.00%","9796.88万","9796.88万","7.84亿","7.84亿","3.31%","-2.34%","-11.35%","-30.17%","-3.10%","家具"
"1807","01190","航标控股","0.088","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.088","0.088","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.465","0.00","0.00%","1.12亿","1.12亿","12.78亿","12.78亿","0.00%","0.00%","0.00%","0.00%","0.00%","家具"
"1808","03816","KFM金德","0.210","0.000","0.00%","0.00%","-8.70%","10.53%","0.201","0.218","4000","10.00万","0","0","0.000%","0.000%","0.210","0.210","0.000","0.000","0.00","0.00","0.00","亏损","210.000","0.234","0.00","-88.89%","1.26亿","1.26亿","6亿","6亿","0.00%","-3.67%","5.00%","-11.02%","-42.47%","工业零件及器材"
"1809","01326","传递娱乐","0.090","0.000","0.00%","0.00%","-32.84%","-16.67%","0.086","0.093","40.00万","43.20万","0","0","0.000%","0.000%","0.090","0.090","0.000","0.000","0.00","0.00","0.00","亏损","亏损","-","0.00","4.66%","2.34亿","2.34亿","25.96亿","25.96亿","7.14%","8.43%","1.12%","-45.45%","-25.00%","影视娱乐"
"1810","01829","中国机械工程","3.550","0.000","0.00%","0.00%","126.11%","73.17%","3.550","3.560","264.00万","66.70万","404.34万","1436.18万","4.900%","4.901%","3.560","3.550","3.570","3.550","0.45","0.00","0.56","7.334","6.099","0.734","1.21","32.30%","146.46亿","32.24亿","41.26亿","9.08亿","-0.56%","0.28%","39.22%","88.83%","29.75%","重型基建"
"1811","00540","迅捷环球控股","0.180","0.000","0.00%","0.00%","-5.26%","5.88%","0.171","0.200","1.20万","22.00万","0","0","16.670%","16.666%","0.180","0.180","0.000","0.000","0.00","0.00","0.00","亏损","4.090","0.661","0.00","-89.66%","1.08亿","1.08亿","6亿","6亿","0.00%","15.38%","16.13%","-2.70%","-21.74%","服装"
"1812","01232","金轮天地控股","0.490","0.000","0.00%","0.00%","-15.52%","-9.26%","0.490","0.510","4.00万","2000","0","0","3.270%","3.265%","0.490","0.490","0.000","0.000","0.00","0.00","0.00","亏损","3.181","0.169","0.00","38.57%","8.83亿","8.83亿","18.02亿","18.02亿","-3.92%","-10.91%","-3.92%","2.08%","-2.78%","地产发展商"
"1813","08072","罗马集团","0.151","0.000","0.00%","0.00%","-82.24%","9.42%","0.150","0.152","11.00万","1.00万","262.00万","39.24万","0.000%","0.000%","0.151","0.151","0.153","0.145","1.49","0.00","5.30","亏损","亏损","0.070","0.78","7.51%","2650.36万","2650.36万","1.76亿","1.76亿","21.77%","14.39%","10.22%","-37.08%","-49.67%","其他金融"
"1814","01319","霭华押业信贷","0.290","0.000","0.00%","0.00%","3.20%","-6.45%","0.290","0.295","14.40万","8000","3.20万","9280","6.900%","7.586%","0.290","0.290","0.290","0.290","0.00","0.00","0.00","5.576","5.178","0.606","0.10","40.73%","5.60亿","5.60亿","19.32亿","19.32亿","-4.92%","-3.33%","-6.45%","5.07%","3.57%","-"
"1815","00864","永利地产发展","0.460","0.000","0.00%","0.00%","22.67%","19.48%","0.400","0.460","4000","2.00万","0","0","4.350%","0.000%","0.460","0.460","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.186","0.00","-84.62%","1.78亿","1.78亿","3.86亿","3.86亿","2.22%","-4.17%","2.22%","13.58%","6.98%","地产投资"
"1816","01673","华章科技","0.850","0.000","0.00%","0.00%","-24.78%","-2.30%","0.740","0.850","2000","56.60万","0","0","3.530%","0.000%","0.850","0.850","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.958","0.00","-7.29%","6.23亿","6.23亿","7.33亿","7.33亿","21.43%","14.86%","28.79%","-54.55%","-70.99%","工业零件及器材"
"1817","01369","五洲国际","0.040","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.000","0.040","0.000","0.000","0.00","0.00","0.00","亏损","亏损","-","0.00","0.00%","2.00亿","2.00亿","49.9亿","49.9亿","0.00%","0.00%","0.00%","0.00%","0.00%","-"
"1818","08201","宝联控股","0.111","0.000","0.00%","0.00%","65.67%","11.00%","0.100","0.106","4.00万","10.00万","4000","340","0.000%","0.000%","0.111","0.111","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.304","0.03","-11.11%","5994.00万","5994.00万","5.4亿","5.4亿","-11.20%","-9.02%","11.00%","-13.28%","-26.00%","其他支援服务"
"1819","01275","开元产业信托","1.970","0.000","0.00%","0.00%","66.95%","39.72%","1.970","2.000","10.00万","45.00万","0","0","1.570%","3.553%","1.970","1.970","0.000","0.000","0.00","0.00","0.00","亏损","亏损","1.001","0.00","-19.47%","19.26亿","19.26亿","9.78亿","9.78亿","0.51%","12.57%","19.39%","91.26%","52.95%","房地产信托"
"1820","01107","当代置业","0.850","0.000","0.00%","0.00%","-10.53%","0.00%","0.840","0.850","42.00万","19.00万","67.00万","56.50万","8.820%","8.588%","0.850","0.850","0.860","0.840","0.02","0.00","2.35","3.244","2.961","0.329","2.58","36.17%","23.76亿","23.76亿","27.95亿","27.95亿","1.19%","-2.30%","-6.59%","-19.81%","-17.79%","地产发展商"
"1821","06898","中国铝罐","0.420","0.000","0.00%","0.00%","9.09%","-17.65%","0.395","0.450","2.00万","2.00万","0","0","1.430%","1.904%","0.420","0.420","0.000","0.000","0.00","0.00","0.00","22.105","9.767","1.189","0.00","55.56%","3.79亿","3.79亿","9.02亿","9.02亿","5.00%","0.00%","-2.33%","-6.04%","-14.11%","印刷及包装"
"1822","01249","通力电子","11.920","0.000","0.00%","0.00%","2.41%","3.47%","11.900","11.920","2.50万","12.80万","36.51万","434.47万","2.940%","2.936%","11.900","11.920","11.920","11.900","0.13","0.17","0.17","13.654","12.126","1.868","2.89","9.55%","32.59亿","32.59亿","2.73亿","2.73亿","0.17%","3.65%","4.20%","0.17%","90.11%","消费电子产品"
"1823","08310","大丰港","0.245","0.000","0.00%","0.00%","12.39%","-1.21%","0.000","0.260","0","10.00万","0","0","0.000%","0.000%","0.245","0.245","0.000","0.000","0.00","0.00","0.00","亏损","亏损","-","0.00","-100.00%","3.16亿","3.16亿","12.88亿","12.88亿","0.00%","-3.92%","-7.55%","37.64%","-36.36%","采购及供应链管理"
"1824","08135","正美丰业","0.300","0.000","0.00%","0.00%","7.14%","24.48%","0.000","0.325","0","16.50万","0","0","0.000%","0.000%","0.300","0.300","0.000","0.000","0.00","0.00","0.00","亏损","亏损","1.136","0.00","-100.00%","2.38亿","2.38亿","7.93亿","7.93亿","0.00%","0.00%","11.11%","11.11%","-6.25%","汽车零件"
"1825","01219","天喔国际","0.380","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","11.320%","0.000%","0.000","0.380","0.000","0.000","0.00","0.00","0.00","亏损","亏损","-","0.00","0.00%","8.38亿","8.38亿","22.06亿","22.06亿","0.00%","0.00%","0.00%","0.00%","0.00%","-"
"1826","01363","中滔环保","0.340","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","12.060%","0.000%","0.340","0.340","0.000","0.000","0.00","0.00","0.00","亏损","亏损","-","0.00","0.00%","21.48亿","21.48亿","63.17亿","63.17亿","0.00%","0.00%","0.00%","0.00%","0.00%","水务"
"1827","01373","国际家居零售","2.520","0.000","0.00%","-0.40%","16.13%","-0.79%","2.520","2.530","14.30万","1.20万","81.90万","206.55万","7.940%","6.547%","2.520","2.520","2.550","2.500","0.11","-0.40","1.98","6.684","12.057","2.112","1.12","-15.83%","18.21亿","18.21亿","7.23亿","7.23亿","1.61%","-0.40%","-2.70%","10.53%","35.48%","家居装修零售商"
"1828","06108","新锐医药","0.425","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.425","0.425","0.000","0.000","0.00","0.00","0.00","亏损","亏损","1.197","0.00","0.00%","7.11亿","7.11亿","16.72亿","16.72亿","0.00%","0.00%","0.00%","0.00%","0.00%","药品"
"1829","01290","中国汇融","1.050","0.000","0.00%","1.94%","84.21%","5.00%","1.000","1.050","6.40万","11.40万","147.00万","152.75万","1.240%","1.238%","1.040","1.050","1.050","1.010","0.14","-0.01","3.81","52.500","20.588","0.570","3.03","-86.77%","11.42亿","11.42亿","10.88亿","10.88亿","5.00%","11.70%","8.25%","25.00%","-6.00%","-"
"1830","01396","粤港湾控股","0.490","0.000","0.00%","0.00%","13.95%","10.11%","0.475","0.490","8000","30.40万","102.20万","48.77万","0.000%","0.000%","0.490","0.490","0.490","0.470","0.02","2.08","4.08","亏损","亏损","0.377","0.79","-40.55%","22.23亿","22.23亿","45.37亿","45.37亿","0.00%","2.08%","7.69%","20.99%","20.99%","地产发展商"
"1831","00153","中国赛特","0.104","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.104","0.104","0.000","0.000","0.00","0.00","0.00","2.666","2.666","0.095","0.00","0.00%","3.14亿","3.14亿","30.21亿","30.21亿","0.00%","0.00%","0.00%","0.00%","0.00%","楼宇建造"
"1832","01358","普华和顺","0.550","0.000","0.00%","0.00%","-10.28%","-4.01%","0.530","0.550","16.70万","15.80万","53.80万","29.11万","286.730%","0.000%","0.540","0.550","0.550","0.530","0.03","3.77","3.64","4.741","9.482","0.160","0.36","-9.16%","8.63亿","8.63亿","15.69亿","15.69亿","10.00%","5.77%","-9.84%","773.02%","0.00%","医疗保健设备"
"1833","01884","EPRINT集团","0.231","0.000","0.00%","0.00%","5.00%","19.07%","0.207","0.000","4000","0","3.60万","8312","6.930%","0.000%","0.230","0.231","0.231","0.230","0.01","0.00","0.43","25.666","23.100","0.552","0.47","100.00%","1.27亿","1.27亿","5.5亿","5.5亿","-2.94%","13.24%","15.50%","-7.60%","-32.06%","印刷及包装"
"1834","02213","益华控股","0.101","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.101","0.101","0.000","0.000","0.00","0.00","0.00","亏损","亏损","-","0.00","0.00%","1.01亿","1.01亿","10.03亿","10.03亿","0.00%","0.00%","0.00%","0.00%","0.00%","多元化零售商"
"1835","01678","中创环球","0.040","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.040","0.040","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.049","0.00","0.00%","8680.00万","8680.00万","21.7亿","21.7亿","0.00%","0.00%","0.00%","0.00%","0.00%","家具"
"1836","03380","龙光集团","11.760","0.000","0.00%","-0.17%","-5.92%","-7.40%","11.740","11.760","4.30万","2.40万","159.63万","1876.96万","7.480%","7.040%","11.880","11.760","11.980","11.660","0.03","0.00","2.72","4.788","5.233","1.540","0.47","18.05%","649.21亿","649.21亿","55.2亿","55.2亿","0.00%","-4.08%","-4.08%","-15.58%","0.68%","地产发展商"
"1837","01353","诺奇","1.000","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.000","1.000","0.000","0.000","0.00","0.00","0.00","亏损","亏损","125.000","0.00","0.00%","6.11亿","1.61亿","6.11亿","1.61亿","0.00%","0.00%","0.00%","0.00%","0.00%","-"
"1838","01389","美捷汇控股","0.043","0.000","0.00%","0.00%","10.26%","16.22%","0.043","0.057","2.00万","4000","0","0","0.000%","0.000%","0.043","0.043","0.000","0.000","0.00","0.00","0.00","亏损","亏损","1.048","0.00","12.72%","1.43亿","1.43亿","33.26亿","33.26亿","-12.24%","16.22%","19.44%","4.88%","-23.21%","酒精饮料"
"1839","01247","米格国际控股","0.060","0.000","0.00%","3.45%","87.50%","50.00%","0.056","0.060","2.00万","3.80万","11.80万","6954","0.000%","0.000%","0.060","0.060","0.060","0.055","0.01","0.00","8.33","亏损","亏损","0.264","1.22","-49.05%","5904.00万","5904.00万","9.84亿","9.84亿","0.00%","1.69%","25.00%","81.82%","25.00%","服装"
"1840","03332","中生联合","0.174","0.000","0.00%","0.00%","11.54%","9.43%","0.148","0.174","2000","5.20万","0","0","0.000%","0.000%","0.174","0.174","0.000","0.000","0.00","0.00","0.00","亏损","亏损","0.364","0.00","-96.43%","1.65亿","4740.97万","9.46亿","2.72亿","27.01%","28.89%","0.58%","19.18%","-14.29%","个人护理"
"1841","08001","东方汇财证券","0.220","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.220","0.220","0.000","0.000","0.00","0.00","0.00","3.142","22.000","0.285","0.00","0.00%","9504.00万","9504.00万","4.32亿","4.32亿","0.00%","0.00%","0.00%","0.00%","0.00%","-"
"1842","00798","中电光谷","0.420","0.000","0.00%","0.00%","0.00%","1.20%","0.410","0.420","8000","45.60万","18.80万","7.87万","5.950%","5.952%","0.420","0.420","0.420","0.410","0.00","0.00","2.38","5.316","5.121","0.432","0.39","-59.29%","31.81亿","31.81亿","75.74亿","75.74亿","3.70%","1.20%","-1.18%","-10.64%","5.00%","地产发展商"
"1843","06138","哈尔滨银行","1.030","0.000","0.00%","0.00%","4.04%","3.00%","1.030","1.040","8000","19.50万","35.60万","36.66万","10.580%","10.582%","1.020","1.030","1.040","1.020","0.01","0.00","1.94","3.179","2.893","0.199","0.78","-1.40%","113.25亿","31.14亿","109.96亿","30.24亿","1.98%","0.98%","4.04%","-13.45%","-23.13%","银行"
"1844","01771","新丰泰集团","1.450","0.000","0.00%","0.00%","36.79%","-6.45%","1.400","1.450","4.00万","8000","0","0","2.760%","2.758%","1.450","1.450","0.000","0.000","0.00","0.00","0.00","8.734","6.621","0.375","0.00","89.94%","8.70亿","8.70亿","6亿","6亿","3.57%","7.41%","-5.84%","57.61%","46.46%","汽车零售商"
"1845","02111","超盈国际控股","1.560","0.000","0.00%","0.00%","17.29%","24.80%","1.550","1.650","6.00万","4000","5.00万","7.76万","3.720%","3.717%","1.550","1.560","1.560","1.550","0.01","0.00","0.64","6.117","5.397","0.649","0.31","13.21%","16.22亿","16.22亿","10.4亿","10.4亿","-1.27%","6.85%","14.71%","48.57%","-17.98%","纺织品及布料"
"1846","02303","恒兴黄金","2.930","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","15.670%","3.412%","0.000","2.930","0.000","0.000","0.00","0.00","0.00","12.794","11.535","2.344","0.00","0.00%","27.10亿","27.10亿","9.25亿","9.25亿","0.00%","0.00%","0.00%","0.00%","0.00%","-"
"1847","06198","青岛港","4.350","0.000","0.00%","-0.46%","-13.17%","-9.19%","4.350","4.370","16.00万","28.60万","78.01万","339.74万","5.030%","5.034%","4.360","4.350","4.380","4.330","0.07","0.00","1.15","6.786","6.796","0.765","0.46","-28.18%","282.36亿","47.81亿","64.91亿","10.99亿","-2.68%","-3.12%","-7.25%","-7.05%","-15.20%","航运及港口"
"1848","03903","瀚华金控","0.285","0.000","0.00%","0.00%","7.55%","1.79%","0.280","0.300","15.00万","7.00万","0","0","16.840%","0.000%","0.285","0.285","0.000","0.000","0.00","0.00","0.00","4.750","4.913","0.157","0.00","36.00%","13.11亿","3.33亿","46亿","11.7亿","3.64%","5.56%","14.00%","-21.92%","-20.83%","-"
"1849","02229","长港敦信","0.960","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.000","0.960","0.000","0.000","0.00","0.00","0.00","18.113","11.851","0.906","0.00","0.00%","11.44亿","11.44亿","11.91亿","11.91亿","0.00%","0.00%","0.00%","0.00%","0.00%","-"
"1850","03639","亿达中国","2.150","0.000","0.00%","0.00%","0.47%","-1.38%","0.000","2.180","0","6000","0","0","4.470%","0.000%","2.150","2.150","0.000","0.000","0.00","0.00","0.00","11.315","11.256","0.409","0.00","-100.00%","55.56亿","55.56亿","25.84亿","25.84亿","0.00%","0.00%","-0.46%","18.78%","-1.38%","地产发展商"
"1851","01778","彩生活","3.500","0.000","0.00%","0.29%","-7.89%","0.57%","3.490","3.500","1000","3000","56.20万","192.86万","2.800%","2.800%","3.420","3.500","3.500","3.330","0.04","0.00","4.86","8.905","9.283","1.143","1.60","-29.59%","50.92亿","50.92亿","14.55亿","14.55亿","-0.85%","-0.28%","-1.69%","-21.35%","-6.89%","物业服务及管理"
"1852","01446","鸿福堂","0.540","0.000","0.00%","0.00%","31.71%","16.13%","0.540","0.550","9.40万","11.00万","6000","3240","3.150%","1.481%","0.540","0.540","0.540","0.540","0.00","0.00","0.00","12.558","36.000","1.216","0.01","-14.25%","3.54亿","3.54亿","6.56亿","6.56亿","3.85%","5.88%","8.00%","7.78%","47.14%","非酒精饮料"
"1853","06136","康达环保","0.670","0.000","0.00%","0.00%","-9.46%","0.00%","0.660","0.670","16.80万","1.10万","9.40万","6.29万","3.580%","0.000%","0.670","0.670","0.670","0.660","0.00","0.00","1.49","3.101","3.453","0.271","0.14","-19.08%","14.34亿","14.34亿","21.4亿","21.4亿","0.00%","0.00%","-4.29%","-10.67%","-18.29%","水务"
"1854","02329","国瑞置业","0.760","0.000","0.00%","0.00%","-15.56%","-1.30%","0.740","0.760","25.10万","27.00万","548.00万","409.11万","5.000%","5.000%","0.760","0.760","0.770","0.740","0.12","0.00","3.95","6.280","3.584","0.239","1.04","-22.70%","33.78亿","33.78亿","44.44亿","44.44亿","-3.80%","-5.00%","0.00%","-34.48%","-48.72%","地产发展商"
"1855","01599","城建设计","1.950","0.000","0.00%","-0.51%","1.04%","0.00%","1.950","1.960","3000","7.90万","35.50万","70.19万","7.540%","7.538%","1.990","1.950","2.040","1.930","0.09","-0.51","5.64","3.373","3.644","0.450","0.31","-0.29%","26.30亿","7.56亿","13.49亿","3.88亿","0.00%","-1.02%","-2.99%","-11.88%","-8.15%","楼宇建造"
"1856","06188","迪信通","3.350","0.000","0.00%","0.00%","123.33%","53.67%","3.320","3.350","2.00万","4000","21.15万","70.79万","0.000%","0.000%","3.330","3.350","3.390","3.310","0.05","0.00","2.39","12.407","8.701","0.512","0.23","-13.87%","24.54亿","13.22亿","7.32亿","3.95亿","-3.18%","20.07%","77.25%","108.07%","77.25%","电讯设备"
"1857","00787","利标品牌","0.181","0.000","0.00%","0.00%","-9.05%","2.84%","0.177","0.181","6.00万","8000","8.34万","1.50万","1286.190%","0.000%","0.180","0.181","0.181","0.180","0.01","0.00","0.55","亏损","亏损","0.117","0.16","3.45%","1.86亿","1.86亿","10.29亿","10.29亿","2.26%","0.00%","-2.69%","-20.26%","-56.90%","服装"
"1858","01367","广州基金国际控股","0.510","0.000","0.00%","0.00%","0.00%","0.00%","0.000","0.000","0","0","0","0","0.000%","0.000%","0.510","0.510","0.000","0.000","0.00","0.00","0.00","亏损","亏损","-","0.00","0.00%","2.45亿","2.45亿","4.8亿","4.8亿","0.00%","0.00%","0.00%","0.00%","0.00%","服装零售商"
